smiles,Name,LigandSmiles,Metal,bondorder,oxidation_states,classification
COc1cccc(CN2C=CN3CCP(c4ccccc4)(c4ccccc4)->[Pd]4(<-[C]32)<-C2=C->4C(=O)OC2=O)c1,UNEXUI,COc1cccc(CN2C=CN(CCP(c3ccccc3)c3ccccc3)C2)c1.O=C1C=CC(=O)O1,Pd,4.0,0,6
CC(C)(C)C1=CC2=P(c3ccccc3)(c3ccccc3)P(->[Fe](<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)=P(c3ccccc3)(c3ccccc3)C2=C1,GERHUJ,C#O.C#O.C#O.C#O.CC(C)(C)C1=C[C-]2C(=C1)[P+](c1ccccc1)(c1ccccc1)[P-][P+]2(c1ccccc1)c1ccccc1,Fe,5.0,0,6
CC(=O)Oc1ccccc1C(=O)Nc1cccn(->[Cr](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)c1,ATUMIN,C#O.C#O.C#O.C#O.C#O.CC(=O)Oc1ccccc1C(=O)Nc1cccnc1,Cr,6.0,0,6
CC(C)c12->[Mo]3456(<-[C]=O)(<-[C]=O)(<-[C]=O)<-c(c->31)c->4c->5(C(C)C)c->62N,AKAGUP,C#O.C#O.C#O.CC(C)c1cccc(C(C)C)c1N,Mo,9.0,0,6
Cc1cc(C)c(N2C=CN3c4cccc(C)n4->[Pd]4(<-[C]23)<-C2=C->4C(=O)OC2=O)c(C)c1,INUQIS,Cc1cc(C)c(N2C=CN(c3cccc(C)n3)C2)c(C)c1.O=C1C=CC(=O)O1,Pd,4.0,0,6
Cc1c(C)c(C)c2c(c1C)-c13->[Cr]4567(<-[C]=O)(<-[C]=O)(<-[C]=O)<-c(C)(c->4(C)c->5(C)c->61-2)c->73C,XEMVOA,C#O.C#O.C#O.Cc1c(C)c(C)c2c(c1C)c1c(C)c(C)c(C)c(C)c21,Cr,9.0,0,6
CC1=NP(C(C)(C)C)(->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)C(C(C)(C)C)O1,DITLOK,C#O.C#O.C#O.C#O.C#O.CC1=NP(C(C)(C)C)C(C(C)(C)C)O1,W,6.0,0,6
Cc1cc(C)c(N2C=CN3CCN(C)(C)->[Pd]4(<-[C]32)<-C2=C->4C(=O)OC2=O)c(C)c1,AHUDIR,Cc1cc(C)c(N2C=CN(CCN(C)C)C2)c(C)c1.O=C1C=CC(=O)O1,Pd,4.0,0,6
CP(C)(c1ccccc1-c1ccccc1)->[Cr](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-P(C)(C)c1ccccc1-c1ccccc1,UJOMEN,C#O.C#O.C#O.C#O.CP(C)c1ccccc1c1ccccc1.CP(C)c1ccccc1c1ccccc1,Cr,6.0,0,6
c1ccc(P2(->[Pd]<-P(c3ccccc3)(c3ccccc3)c3ccccc3NCCCNc3ccccc32)c2ccccc2)cc1,NADFED,c1ccc(P(c2ccccc2)c2ccccc2NCCCNc2ccccc2P(c2ccccc2)c2ccccc2)cc1,Pd,4.0,0,6
CCN(CC)C(=Cc1ccccc1)C(=[Se]->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)N(CC)CC,SANWOT,C#O.C#O.C#O.C#O.C#O.CCN(CC)C(=[Se])C(=Cc1ccccc1)N(CC)CC,W,6.0,0,6
CC(C)C1COC(C2(C)C3=N(->[Pd]4(<-C5=C->4C(=O)OC5=O)<-N4=C2OCC4C(C)C)C(C(C)C)CO3)=N1,VIGZER,CC(C)C1COC(C(C)(C2=NC(C(C)C)CO2)C2=NC(C(C)C)CO2)=N1.O=C1C=CC(=O)O1,Pd,4.0,0,6
Cc1cc(C)c(N2C=CN3c4ncccn4->[Pd]4(<-[C]23)<-C2=C->4C(=O)OC2=O)c(C)c1,APABAV,Cc1cc(C)c(N2C=CN(c3ncccn3)C2)c(C)c1.O=C1C=CC(=O)O1,Pd,4.0,0,6
CC1=N(->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)CCS1,QOKMIM,C#O.C#O.C#O.C#O.C#O.CC1=NCCS1,W,6.0,0,6
CC1c2ccccn2->[Mo](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-N=1N=C(c1ccccc1)c1ccccc1,DEVQOK,C#O.C#O.C#O.C#O.CC(=NN=C(c1ccccc1)c1ccccc1)c1ccccn1,Mo,6.0,0,6
CN(C)c1ccc(N=Cc2ccc(C#Cc3ccn(->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)cc3)cc2)cc1,JEWDOF,C#O.C#O.C#O.C#O.C#O.CN(C)c1ccc(N=Cc2ccc(C#Cc3ccncc3)cc2)cc1,W,6.0,0,6
Cc1cc(C)c(N2C=CN3Cc4cccc(C)n4->[Pd]4(<-[C]32)<-C2=C->4C(=O)OC2=O)c(C)c1,OLUGEI,Cc1cc(C)c(N2C=CN(Cc3cccc(C)n3)C2)c(C)c1.O=C1C=CC(=O)O1,Pd,4.0,0,6
CCOC(=O)CCN1=Cc2ccccn2->[Mo]<-1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,LILNID,C#O.C#O.C#O.C#O.CCOC(=O)CCN=Cc1ccccn1,Mo,6.0,0,6
Cc1ccc(N2=C3C(=N(c4ccc(C)cc4)->[Pd]<-24<-C2=C->4C(=O)OC2=O)c2cccc4cccc3c24)cc1,ROKKUX,Cc1ccc(N=C2C(=Nc3ccc(C)cc3)c3cccc4cccc2c34)cc1.O=C1C=CC(=O)O1,Pd,4.0,0,6
CC(C)=C1CC2C3CCC(C3)C2P1(c1ccccc1)->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,SIHREH,C#O.C#O.C#O.C#O.C#O.CC(C)=C1CC2C3CCC(C3)C2P1c1ccccc1,W,6.0,0,6
O=[C]->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-P(OC(c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ICEMIP,C#O.C#O.C#O.C#O.C#O.c1ccc(P(OC(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1,W,6.0,0,6
CC(C)(C)P12CCP(C(C)(C)C)(C(C)(C)C)->[Ni]<-13<-c1ccccc->31C(c1ccccc1)c1ccccc1C2,SORJER,CC(C)(C)P(CCP(C(C)(C)C)C(C)(C)C)Cc1ccccc1C(c1ccccc1)c1ccccc1,Ni,4.0,0,6
C[Si](C)(C)N1=C(NP(c2ccccc2)(c2ccccc2)->[Cr]<-1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)c1ccccc1,YUDHOU,C#O.C#O.C#O.C#O.C[Si](C)(C)N=C(NP(c1ccccc1)c1ccccc1)c1ccccc1,Cr,6.0,0,6
O=[C]->[Fe]123(<-[C]=O)(<-c4c5nc6ccccc6nc5c->1c->2c->34)<-P(CP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,SUYRAH,C#O.C#O.C1=Cc2nc3ccccc3nc2C=C1.c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Fe,7.0,0,6
CC(C)(C)P1(Cc2cccc3CP(C(C)(C)C)(C(C)(C)C)->[Fe]<-1(<-[C]=O)(<-[C]=O)<-n23)C(C)(C)C,NONJAC,C#O.C#O.CC(C)(C)P(Cc1cccc(CP(C(C)(C)C)C(C)(C)C)n1)C(C)(C)C,Fe,5.0,0,6
CCN(CC)C1=C(N(C)C)[C]1->[Cr](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,QERKUT,C#O.C#O.C#O.C#O.C#O.CCN(CC)C1=C(N(C)C)C1,Cr,6.0,0,6
CCOC12CC3C=CC=CC1C3C2=N(C)->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,KUGKEC,C#O.C#O.C#O.C#O.C#O.CCOC12CC3C=CC=CC1C3C2=NC,W,6.0,0,6
O=[C]->[Fe]123(<-[C]=O)(<-[C]=O)<-c4c->1c->2(-c1ccccc1)c(=O)oc->34-c1ccccc1,PUTZEJ,C#O.C#O.C#O.O=C1OC(c2ccccc2)=CC=C1c1ccccc1,Fe,7.0,0,6
CC(C)N(B1PB(N(C(C)C)C(C)C)P1->[Cr](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)C(C)C,TEMPOQ,C#O.C#O.C#O.C#O.C#O.CC(C)N(B1PB(N(C(C)C)C(C)C)P1)C(C)C,Cr,6.0,0,6
CC(C)N(C(C)C)P1(->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)c2cccc3cccc1c23,XEYGOY,C#O.C#O.C#O.C#O.C#O.CC(C)N(C(C)C)P1c2cccc3cccc1c23,W,6.0,0,6
O=[C]->[Mo]1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-P(c2ccccc2)(c2ccccc2)C(c2ccccc2)C(c2ccccc2)P->1(c1ccccc1)c1ccccc1,KIGTEZ,C#O.C#O.C#O.C#O.c1ccc(C(C(c2ccccc2)P(c2ccccc2)c2ccccc2)P(c2ccccc2)c2ccccc2)cc1,Mo,6.0,0,6
O=[C]->[Mo]123(<-[C]=O)(<-[C]=O)(<-[C]=O)<-C4=C->1C1C5C=CC6C=CC7C5C1C->2=C->3C7C64,COCTMP,C#O.C#O.C#O.C#O.C1=CC2C3C=CC4C5C=CC3C1C=CC5C24,Mo,8.0,0,6
COc1ccc(-c2oc3ccccc3p2->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)cc1,QEHBIR,C#O.C#O.C#O.C#O.C#O.COc1ccc(C2=Pc3ccccc3O2)cc1,W,6.0,0,6
O=[C]->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-P(C(=[C-]c1ccccc1)c1ccccc1)=C1C=CC=[S+]1,ZOKRUO,C#O.C#O.C#O.C#O.C#O.C1=CSC(P2C(c3ccccc3)=C2c2ccccc2)=C1,W,6.0,0,6
C[Si](C)(C)P([Si](C)(C)C)([Si](C)(C)C)->[Cr](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,CEPJIR,C#O.C#O.C#O.C#O.C#O.C[Si](C)(C)P([Si](C)(C)C)[Si](C)(C)C,Cr,6.0,0,6
CC(C)(C)P(CP1(C)CP(C(C)(C)C)(C(C)(C)C)->[Mo]<-1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)C(C)(C)C,WAZJUC,C#O.C#O.C#O.C#O.CP(CP(C(C)(C)C)C(C)(C)C)CP(C(C)(C)C)C(C)(C)C,Mo,6.0,0,6
CS1CCC2COP(c3ccccc3)(c3ccccc3)->[W]<-1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-N2(C)C,SUMWAY,C#O.C#O.C#O.CSCCC(COP(c1ccccc1)c1ccccc1)N(C)C,W,6.0,0,6
